InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Total,Date,Time,Payment
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,457.443,1/1/2019,10:39,Credit card
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,172.2105,1/21/2019,18:00,Credit card
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,84.63,3/11/2019,15:30,Ewallet
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,451.71,2/25/2019,11:24,Ewallet
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,277.137,3/5/2019,10:40,Ewallet
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,69.72,3/15/2019,12:20,Credit card
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,181.44,2/17/2019,11:15,Ewallet
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,279.1845,3/2/2019,17:36,Ewallet
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,441.756,3/22/2019,19:20,Credit card
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.196,2/8/2019,15:31,Cash
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,184.107,3/10/2019,12:17,Credit card
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,463.89,1/25/2019,19:48,Cash
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,235.2105,3/15/2019,15:36,Cash
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,494.1825,2/25/2019,19:39,Credit card
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,737.7615,1/28/2019,12:43,Cash
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,703.752,1/10/2019,14:49,Cash
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,202.818,3/15/2019,10:12,Credit card
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,417.564,2/6/2019,10:42,Ewallet
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.526,1/7/2019,12:28,Ewallet
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,328.755,3/10/2019,19:15,Ewallet
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,575.316,1/15/2019,17:17,Ewallet
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,461.328,3/23/2019,13:24,Ewallet
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,253.008,3/3/2019,13:01,Cash
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.056,1/17/2019,18:45,Ewallet
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,117.831,2/2/2019,10:11,Cash
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,435.456,2/8/2019,13:03,Cash
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,829.08,3/4/2019,20:39,Cash
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,32.277,3/16/2019,19:47,Cash
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,394.632,3/9/2019,18:00,Cash
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,535.7205,2/27/2019,17:24,Credit card
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,189.0945,2/6/2019,15:47,Ewallet
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,119.259,2/10/2019,12:45,Credit card
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,867.615,3/19/2019,17:08,Ewallet
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,671.79,2/3/2019,10:19,Cash
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,234.0975,2/10/2019,15:10,Cash
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,75.054,3/22/2019,14:42,Ewallet
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2015,1/25/2019,15:46,Credit card
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,33.936,3/7/2019,11:49,Ewallet
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,722.232,2/28/2019,19:01,Cash
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,93.114,3/27/2019,11:26,Cash
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,752.64,2/7/2019,11:28,Ewallet
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,759.675,1/20/2019,15:55,Cash
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,192.843,3/12/2019,20:36,Cash
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,77.931,2/15/2019,17:47,Credit card
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,351.099,2/24/2019,10:55,Ewallet
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,520.4115,2/3/2019,13:40,Ewallet
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,166.005,3/6/2019,12:27,Credit card
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,318.108,2/14/2019,14:35,Cash
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,166.635,3/13/2019,16:40,Cash
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,70.287,2/10/2019,15:43,Ewallet
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,614.943,1/7/2019,15:01,Ewallet
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,827.085,1/24/2019,10:04,Cash
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,19.2465,2/2/2019,18:50,Cash
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,939.54,1/6/2019,12:46,Credit card
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,652.26,2/11/2019,16:19,Cash
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,152.838,3/5/2019,18:17,Ewallet
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,478.233,3/9/2019,18:21,Cash
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,705.6315,1/22/2019,10:55,Ewallet
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,437.325,1/13/2019,17:04,Credit card
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,463.428,1/9/2019,14:20,Credit card
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,189.0945,1/12/2019,15:48,Credit card
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,822.255,3/5/2019,16:24,Ewallet
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,106.995,1/22/2019,18:56,Cash
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,624.897,1/21/2019,14:42,Credit card
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,304.542,1/26/2019,19:56,Ewallet
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,161.7,1/23/2019,18:37,Ewallet
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,337.512,2/23/2019,18:45,Credit card
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,256.7775,3/9/2019,10:17,Cash
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,610.491,3/5/2019,14:31,Ewallet
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,401.73,3/25/2019,10:23,Cash
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,362.943,3/27/2019,20:35,Credit card
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,44.5935,1/2/2019,16:57,Cash
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,485.037,2/27/2019,17:55,Cash
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,198.996,1/23/2019,10:25,Cash
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,471.03,1/26/2019,19:54,Ewallet
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,161.553,1/10/2019,16:42,Ewallet
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,608.202,3/12/2019,12:09,Credit card
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,94.2375,2/6/2019,20:05,Credit card
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,102.018,3/8/2019,20:38,Ewallet
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,922.635,3/29/2019,10:25,Ewallet
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,78.435,2/9/2019,13:11,Cash
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,166.1625,3/23/2019,10:16,Ewallet
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,521.01,3/5/2019,18:14,Cash
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,51.1455,3/26/2019,19:20,Cash
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,742.2975,3/1/2019,13:22,Cash
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,218.0115,2/1/2019,11:27,Cash
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,367.038,3/28/2019,16:44,Cash
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,223.0725,3/19/2019,18:19,Cash
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,931.035,1/12/2019,14:50,Ewallet
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,172.494,1/5/2019,20:54,Credit card
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,391.419,3/22/2019,20:19,Cash
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,321.111,3/24/2019,10:43,Cash
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,860.685,3/3/2019,14:30,Cash
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,34.629,2/5/2019,11:32,Ewallet
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,309.3615,2/5/2019,10:41,Credit card
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,535.374,2/15/2019,12:44,Cash
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,548.7615,1/19/2019,20:07,Ewallet
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,763.4655,2/1/2019,20:31,Credit card
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,85.113,3/2/2019,13:01,Credit card
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,115.185,3/5/2019,12:29,Ewallet
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,53.928,1/16/2019,15:26,Ewallet
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,115.08,2/2/2019,20:48,Ewallet
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,112.224,1/20/2019,20:38,Ewallet
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,836.304,2/14/2019,17:03,Credit card
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,419.832,1/12/2019,12:02,Credit card
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,944.622,3/9/2019,17:26,Credit card
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,536.844,3/13/2019,19:52,Credit card
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,474.348,3/9/2019,14:57,Ewallet
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,688.6215,3/10/2019,18:44,Credit card
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,169.3125,1/27/2019,13:26,Cash
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,299.8485,1/8/2019,16:17,Credit card
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,575.736,1/8/2019,15:57,Ewallet
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,853.146,2/8/2019,11:15,Ewallet
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,291.207,1/25/2019,13:18,Cash
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,580.419,3/6/2019,20:34,Cash
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,146.328,2/10/2019,18:36,Cash
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,550.935,2/17/2019,14:40,Credit card
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,512.19,3/8/2019,16:43,Ewallet
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,284.193,2/18/2019,19:39,Cash
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,138.1275,1/18/2019,20:59,Credit card
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,216.846,2/18/2019,15:39,Cash
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,545.055,2/16/2019,12:21,Cash
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,609,3/16/2019,19:25,Ewallet
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,942.9,1/23/2019,13:00,Credit card
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,950.25,1/25/2019,13:48,Cash
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,720.3,2/5/2019,19:57,Cash
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,31.9305,2/22/2019,10:36,Credit card
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,491.085,1/21/2019,16:37,Ewallet
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,291.438,3/8/2019,17:11,Credit card
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,316.47,2/10/2019,12:28,Ewallet
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,277.788,3/19/2019,12:46,Credit card
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,603.624,3/6/2019,15:07,Credit card
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,272.664,3/27/2019,13:48,Credit card
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,384.468,3/23/2019,19:20,Credit card
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,254.016,3/11/2019,16:07,Credit card
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,786.618,1/29/2019,11:56,Credit card
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,103.824,2/7/2019,18:23,Ewallet
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,680.148,1/28/2019,13:05,Cash
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,484.5225,2/20/2019,15:55,Credit card
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,75.7785,1/4/2019,19:40,Cash
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,263.97,3/7/2019,13:58,Ewallet
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,918.729,3/30/2019,14:43,Ewallet
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,588.357,3/27/2019,19:18,Ewallet
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,362.712,1/19/2019,19:39,Credit card
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,66.8745,2/25/2019,16:21,Cash
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,336.5565,3/13/2019,19:44,Credit card
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,160.44,1/30/2019,19:42,Ewallet
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,418.95,2/20/2019,15:24,Credit card
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,357.588,2/25/2019,14:12,Ewallet
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,1003.59,1/16/2019,13:32,Cash
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,1039.29,2/8/2019,16:20,Credit card
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,323.064,1/19/2019,16:31,Cash
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,510.972,2/1/2019,15:10,Credit card
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,367.5525,1/3/2019,11:36,Ewallet
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,420.2625,1/26/2019,12:45,Credit card
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,175.14,3/3/2019,19:17,Cash
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,333.207,1/19/2019,17:34,Credit card
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,166.236,1/18/2019,12:04,Ewallet
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,319.788,3/21/2019,16:21,Ewallet
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,186.228,3/3/2019,17:01,Credit card
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,165.4485,2/13/2019,10:50,Credit card
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,465.444,3/23/2019,19:16,Ewallet
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,273.42,1/28/2019,16:47,Ewallet
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,472.311,2/9/2019,10:00,Cash
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,323.148,1/23/2019,11:51,Cash
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,162.75,3/23/2019,10:55,Ewallet
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,288.204,1/25/2019,15:00,Ewallet
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,90.699,3/4/2019,11:19,Credit card
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,56.952,3/5/2019,19:46,Ewallet
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,793.716,3/3/2019,19:00,Ewallet
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,195.174,2/8/2019,10:53,Cash
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.7735,2/10/2019,12:50,Ewallet
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,293.202,1/28/2019,20:50,Credit card
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,242.676,2/11/2019,10:39,Credit card
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,154.392,1/15/2019,13:41,Ewallet
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,829.71,3/16/2019,19:08,Cash
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,107.31,1/26/2019,20:23,Ewallet
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,171.7275,3/19/2019,11:30,Credit card
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78.0045,1/13/2019,19:30,Cash
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,91.77,3/26/2019,18:03,Cash
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.5545,3/23/2019,10:13,Ewallet
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,174.3,3/12/2019,19:58,Credit card
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,374.7975,2/17/2019,19:57,Credit card
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,120.645,1/29/2019,10:01,Credit card
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,241.458,3/15/2019,11:57,Cash
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,451.3635,1/14/2019,10:02,Cash
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,271.95,2/6/2019,14:51,Ewallet
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,93.2925,2/15/2019,12:42,Credit card
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,217.6335,1/3/2019,12:02,Ewallet
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,629.8425,1/4/2019,18:19,Credit card
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,299.565,3/18/2019,17:38,Ewallet
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,95.6655,3/28/2019,13:41,Ewallet
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,942.4485,3/2/2019,19:42,Credit card
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,247.8735,1/25/2019,20:24,Ewallet
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,881.307,1/16/2019,18:08,Cash
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,484.89,3/20/2019,19:17,Ewallet
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,146.223,1/4/2019,13:24,Credit card
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,217.6335,3/11/2019,15:53,Cash
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,19.194,3/22/2019,15:05,Credit card
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,130.0425,3/24/2019,18:27,Cash
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,298.116,2/21/2019,16:55,Cash
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,796.908,2/12/2019,12:58,Ewallet
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,180.621,3/10/2019,18:59,Credit card
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,285.705,1/31/2019,13:44,Ewallet
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,456.288,3/6/2019,13:46,Ewallet
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,62.0025,2/17/2019,18:06,Cash
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,13.167,2/21/2019,12:38,Cash
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,90.825,3/20/2019,15:56,Cash
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,183.036,1/11/2019,14:29,Credit card
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,655.5465,1/26/2019,19:14,Ewallet
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,155.652,1/31/2019,16:24,Ewallet
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,571.41,2/26/2019,10:52,Cash
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,532.728,3/11/2019,12:55,Ewallet
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,170.877,1/26/2019,19:28,Cash
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,33.3585,3/12/2019,13:52,Credit card
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,794.6505,2/11/2019,10:54,Cash
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,310.044,2/21/2019,18:31,Cash
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,545.37,3/9/2019,18:24,Ewallet
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,195.594,1/20/2019,18:09,Ewallet
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,91.4025,1/28/2019,15:16,Credit card
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,232.155,3/5/2019,17:07,Credit card
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,69.405,3/2/2019,19:26,Cash
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,94.1745,1/11/2019,11:20,Ewallet
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,235.683,1/11/2019,16:49,Credit card
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,125.517,3/11/2019,12:01,Credit card
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,195.72,2/28/2019,18:37,Credit card
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,263.13,1/5/2019,11:25,Cash
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,788.508,2/2/2019,18:42,Credit card
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,399.756,1/1/2019,14:47,Cash
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,256.41,2/9/2019,19:43,Cash
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,94.185,1/23/2019,14:04,Ewallet
